Image,MNIST_ID,Info
eight_1.png,7094,0.07398240268230438
one_1.png,615,0.2199544906616211
four_1.png,8404,0.08165165036916733
six_1.png,1387,0.10211203247308731
four_2.png,541,0.05064922571182251
three_1.png,8022,0.47557660937309265
zero_1.png,4350,0.08020836114883423
one_2.png,489,0.21262036263942719
zero_2.png,6748,0.07469362765550613
four_3.png,2367,0.1857890784740448
two_1.png,1807,0.07661974430084229
four_4.png,5412,0.24338510632514954
nine_1.png,8881,0.13438721001148224
six_2.png,7451,0.2781323790550232
two_2.png,5301,0.11255091428756714
two_3.png,3274,0.3086649775505066
eight_2.png,1907,0.3271532654762268
six_3.png,1105,0.381149023771286
zero_3.png,881,0.22001412510871887
eight_3.png,431,0.1819017082452774
three_2.png,4431,0.2913079559803009
one_3.png,1354,0.07445994764566422
four_5.png,3358,0.15456928312778473
seven_1.png,9783,0.23080289363861084
seven_2.png,4202,0.08504343032836914
five_1.png,5640,0.22833994030952454
seven_3.png,6567,0.21286234259605408
two_4.png,4265,0.3373257517814636
eight_4.png,373,0.04832952469587326
four_6.png,6274,0.29185619950294495
zero_4.png,6574,0.22349895536899567
zero_5.png,4657,0.10660487413406372
eight_5.png,4231,0.16504444181919098
one_4.png,1851,0.204330712556839
six_4.png,5265,0.052381034940481186
two_5.png,9012,0.1018536314368248
nine_2.png,9257,0.4021354615688324
five_2.png,2202,0.12961800396442413
nine_3.png,7974,0.06462132185697556
three_3.png,5454,0.1083277240395546
five_3.png,2672,0.34671756625175476
six_5.png,1379,0.046748820692300797
zero_6.png,8126,0.29912516474723816
zero_7.png,9940,0.050506945699453354
six_6.png,6138,0.3700563609600067
seven_4.png,2498,0.24153365194797516
zero_8.png,1525,0.13730715215206146
two_6.png,4186,0.08224903047084808
six_7.png,8826,0.5130416750907898
five_4.png,9214,0.17969287931919098
eight_6.png,5646,0.40131476521492004
eight_7.png,9850,0.4369906485080719
seven_5.png,1049,0.34144172072410583
seven_6.png,8780,0.27296334505081177
one_5.png,89,0.04842798039317131
five_5.png,2931,0.42501363158226013
three_4.png,1785,0.22997282445430756
six_8.png,9014,0.42270055413246155
four_7.png,7318,0.28841447830200195
two_7.png,1395,0.24451562762260437
six_9.png,2630,0.10307496041059494
one_6.png,1722,0.45532479882240295
five_6.png,4776,0.26100316643714905
one_7.png,7124,0.04468796029686928
eight_8.png,2361,0.040863748639822006
three_5.png,9931,0.04586299881339073
zero_9.png,4826,0.09597302973270416
five_7.png,806,0.12646006047725677
one_8.png,4611,0.1034822091460228
two_8.png,861,0.3190460205078125
eight_9.png,2443,0.04751858115196228
one_9.png,5490,0.04832001402974129
three_6.png,8998,0.1243433952331543
four_8.png,4623,0.12602780759334564
seven_7.png,3612,0.2485056072473526
seven_8.png,9078,0.18317627906799316
four_9.png,754,0.054927464574575424
one_10.png,9051,0.14648489654064178
eight_10.png,3082,0.268642783164978
four_10.png,2872,0.08925557881593704
two_9.png,2887,0.38877949118614197
seven_9.png,6414,0.19523479044437408
two_10.png,4149,0.1166784018278122
seven_10.png,9739,0.31212708353996277
six_10.png,7141,0.2072516530752182
five_8.png,5538,0.18973541259765625
three_7.png,9544,0.31607988476753235
five_9.png,6266,0.28178244829177856
nine_4.png,2164,0.053419310599565506
zero_10.png,6195,0.2691769301891327
three_8.png,1567,0.2505547106266022
nine_5.png,7507,0.2630896270275116
three_9.png,1898,0.31885799765586853
five_10.png,7419,0.3289947211742401
three_10.png,8463,0.14448027312755585
nine_6.png,1645,0.544367790222168
nine_7.png,1575,0.2325197160243988
nine_8.png,7256,0.10227160155773163
nine_9.png,5906,0.12131328880786896
nine_10.png,9272,0.250150591135025
