row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
75,1741,1,six_3.png,six_5.png,html-button-response,74,232572,5d14fc1506d74500016a84a9,typicality,NULL
76,1716,1,four_7.png,four_8.png,html-button-response,75,234290,5d14fc1506d74500016a84a9,typicality,NULL
77,4117,0,eight_7.png,eight_3.png,html-button-response,76,238408,5d14fc1506d74500016a84a9,typicality,NULL
78,2074,1,zero_1.png,zero_7.png,html-button-response,77,240484,5d14fc1506d74500016a84a9,typicality,NULL
79,1499,0,one_6.png,one_2.png,html-button-response,78,241984,5d14fc1506d74500016a84a9,typicality,NULL
80,1128,1,one_9.png,one_1.png,html-button-response,79,243114,5d14fc1506d74500016a84a9,typicality,NULL
81,1844,1,eight_1.png,eight_6.png,html-button-response,80,244960,5d14fc1506d74500016a84a9,typicality,NULL
82,1955,0,nine_4.png,nine_3.png,html-button-response,81,246915,5d14fc1506d74500016a84a9,typicality,NULL
83,1168,0,five_5.png,five_8.png,html-button-response,82,248086,5d14fc1506d74500016a84a9,typicality,NULL
84,1795,1,five_4.png,five_10.png,html-button-response,83,249882,5d14fc1506d74500016a84a9,typicality,NULL
85,1429,1,seven_10.png,seven_8.png,html-button-response,84,251312,5d14fc1506d74500016a84a9,typicality,NULL
86,1298,0,two_7.png,two_10.png,html-button-response,85,252611,5d14fc1506d74500016a84a9,typicality,NULL
87,1313,1,three_1.png,three_5.png,html-button-response,86,253926,5d14fc1506d74500016a84a9,typicality,NULL
88,1040,0,six_2.png,six_6.png,html-button-response,87,254967,5d14fc1506d74500016a84a9,typicality,NULL
89,1386,0,five_9.png,five_3.png,html-button-response,88,256355,5d14fc1506d74500016a84a9,typicality,NULL
90,1185,1,seven_1.png,seven_4.png,html-button-response,89,257542,5d14fc1506d74500016a84a9,typicality,NULL
91,1661,0,nine_5.png,nine_8.png,html-button-response,90,259204,5d14fc1506d74500016a84a9,typicality,NULL
92,1674,1,six_10.png,six_4.png,html-button-response,91,260880,5d14fc1506d74500016a84a9,typicality,NULL
93,1986,0,nine_5.png,nine_10.png,html-button-response,92,262867,5d14fc1506d74500016a84a9,typicality,NULL
94,1409,0,two_2.png,two_9.png,html-button-response,93,264277,5d14fc1506d74500016a84a9,typicality,NULL
95,2035,0,three_6.png,three_5.png,html-button-response,94,266314,5d14fc1506d74500016a84a9,typicality,NULL
96,2114,1,four_4.png,four_9.png,html-button-response,95,268430,5d14fc1506d74500016a84a9,typicality,NULL
97,1151,0,five_7.png,five_8.png,html-button-response,96,269583,5d14fc1506d74500016a84a9,typicality,NULL
98,2035,0,one_5.png,one_10.png,html-button-response,97,271620,5d14fc1506d74500016a84a9,typicality,NULL
99,1142,1,zero_8.png,zero_4.png,html-button-response,98,272762,5d14fc1506d74500016a84a9,typicality,NULL
100,944,0,seven_2.png,seven_8.png,html-button-response,99,273708,5d14fc1506d74500016a84a9,typicality,NULL
101,1657,0,one_10.png,one_3.png,html-button-response,100,275367,5d14fc1506d74500016a84a9,typicality,NULL
102,2794,1,four_6.png,four_3.png,html-button-response,101,278162,5d14fc1506d74500016a84a9,typicality,NULL
103,2401,1,six_10.png,six_4.png,html-button-response,102,280565,5d14fc1506d74500016a84a9,typicality,NULL
