row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
7776,2357,1,five_1.png,five_3.png,html-button-response,50,143122,5be743b11781990001f8015d,typicality,NULL
7777,892,0,seven_6.png,seven_4.png,html-button-response,51,144018,5be743b11781990001f8015d,typicality,NULL
7778,1152,1,one_7.png,one_10.png,html-button-response,52,145174,5be743b11781990001f8015d,typicality,NULL
7779,1526,0,nine_8.png,nine_3.png,html-button-response,53,146705,5be743b11781990001f8015d,typicality,NULL
7780,1030,0,five_2.png,five_6.png,html-button-response,54,147740,5be743b11781990001f8015d,typicality,NULL
7781,1804,1,seven_3.png,seven_10.png,html-button-response,55,149548,5be743b11781990001f8015d,typicality,NULL
7782,1290,1,nine_3.png,nine_2.png,html-button-response,56,150842,5be743b11781990001f8015d,typicality,NULL
7783,894,0,zero_1.png,zero_6.png,html-button-response,57,151740,5be743b11781990001f8015d,typicality,NULL
7784,1035,0,five_8.png,five_9.png,html-button-response,58,152779,5be743b11781990001f8015d,typicality,NULL
7785,1311,0,nine_5.png,nine_9.png,html-button-response,59,154094,5be743b11781990001f8015d,typicality,NULL
7786,991,1,one_3.png,one_8.png,html-button-response,60,155090,5be743b11781990001f8015d,typicality,NULL
7787,1473,1,three_2.png,three_8.png,html-button-response,61,156567,5be743b11781990001f8015d,typicality,NULL
7788,1697,1,nine_10.png,nine_6.png,html-button-response,62,158268,5be743b11781990001f8015d,typicality,NULL
7789,1045,1,seven_5.png,seven_10.png,html-button-response,63,159318,5be743b11781990001f8015d,typicality,NULL
7790,1175,1,zero_10.png,zero_8.png,html-button-response,64,160497,5be743b11781990001f8015d,typicality,NULL
7791,992,0,one_2.png,one_1.png,html-button-response,65,161494,5be743b11781990001f8015d,typicality,NULL
7792,1757,1,nine_4.png,nine_1.png,html-button-response,66,163255,5be743b11781990001f8015d,typicality,NULL
7793,1208,1,zero_2.png,zero_3.png,html-button-response,67,164468,5be743b11781990001f8015d,typicality,NULL
7794,1135,1,two_2.png,two_8.png,html-button-response,68,165608,5be743b11781990001f8015d,typicality,NULL
7795,1081,1,six_8.png,six_4.png,html-button-response,69,166719,5be743b11781990001f8015d,typicality,NULL
7796,1119,1,one_1.png,one_5.png,html-button-response,70,167844,5be743b11781990001f8015d,typicality,NULL
7797,864,0,one_8.png,one_4.png,html-button-response,71,168713,5be743b11781990001f8015d,typicality,NULL
7798,1236,0,four_4.png,four_2.png,html-button-response,72,169953,5be743b11781990001f8015d,typicality,NULL
7799,2051,1,five_2.png,five_4.png,html-button-response,73,172009,5be743b11781990001f8015d,typicality,NULL
7800,1524,0,two_7.png,two_5.png,html-button-response,74,173537,5be743b11781990001f8015d,typicality,NULL
7801,1706,0,one_3.png,one_2.png,html-button-response,75,175247,5be743b11781990001f8015d,typicality,NULL
7802,1063,0,four_6.png,four_3.png,html-button-response,76,176314,5be743b11781990001f8015d,typicality,NULL
7803,884,0,nine_7.png,nine_10.png,html-button-response,77,177203,5be743b11781990001f8015d,typicality,NULL
7804,1398,0,four_5.png,four_9.png,html-button-response,78,178605,5be743b11781990001f8015d,typicality,NULL
7805,1118,0,one_9.png,one_10.png,html-button-response,79,179727,5be743b11781990001f8015d,typicality,NULL
7806,2360,1,three_9.png,three_2.png,html-button-response,80,182091,5be743b11781990001f8015d,typicality,NULL
7807,2653,1,six_1.png,six_2.png,html-button-response,81,184750,5be743b11781990001f8015d,typicality,NULL
7808,1210,1,zero_5.png,zero_3.png,html-button-response,82,185964,5be743b11781990001f8015d,typicality,NULL
7809,1099,1,zero_4.png,zero_6.png,html-button-response,83,187068,5be743b11781990001f8015d,typicality,NULL
7810,1951,1,three_5.png,three_7.png,html-button-response,84,189023,5be743b11781990001f8015d,typicality,NULL
7811,1563,1,three_10.png,three_4.png,html-button-response,85,190591,5be743b11781990001f8015d,typicality,NULL
7812,1136,1,zero_4.png,zero_7.png,html-button-response,86,191731,5be743b11781990001f8015d,typicality,NULL
7813,1076,1,five_10.png,five_7.png,html-button-response,87,192810,5be743b11781990001f8015d,typicality,NULL
7814,874,0,three_8.png,three_6.png,html-button-response,88,193690,5be743b11781990001f8015d,typicality,NULL
7815,872,0,eight_8.png,eight_6.png,html-button-response,89,194566,5be743b11781990001f8015d,typicality,NULL
7816,2972,1,zero_7.png,zero_1.png,html-button-response,90,197543,5be743b11781990001f8015d,typicality,NULL
7817,3333,1,six_6.png,six_5.png,html-button-response,91,200880,5be743b11781990001f8015d,typicality,NULL
7818,1207,0,two_10.png,two_4.png,html-button-response,92,202092,5be743b11781990001f8015d,typicality,NULL
7819,1736,1,two_4.png,two_10.png,html-button-response,93,203831,5be743b11781990001f8015d,typicality,NULL
7820,2880,1,zero_10.png,zero_5.png,html-button-response,94,206716,5be743b11781990001f8015d,typicality,NULL
7821,1199,1,four_1.png,four_2.png,html-button-response,95,207920,5be743b11781990001f8015d,typicality,NULL
7822,1535,0,four_8.png,four_9.png,html-button-response,96,209459,5be743b11781990001f8015d,typicality,NULL
7823,811,0,six_9.png,six_8.png,html-button-response,97,210275,5be743b11781990001f8015d,typicality,NULL
7824,1019,0,three_5.png,three_7.png,html-button-response,98,211298,5be743b11781990001f8015d,typicality,NULL
7825,973,0,seven_7.png,seven_8.png,html-button-response,99,212275,5be743b11781990001f8015d,typicality,NULL
7826,2187,1,three_9.png,three_6.png,html-button-response,100,214466,5be743b11781990001f8015d,typicality,NULL
7827,1579,1,nine_5.png,nine_8.png,html-button-response,101,216050,5be743b11781990001f8015d,typicality,NULL
7828,1084,1,two_1.png,two_6.png,html-button-response,102,217138,5be743b11781990001f8015d,typicality,NULL
7829,1747,0," "," ",html-button-response,0,1770,5d1c9db1ab2b52001a30f022,typicality,NULL
7830,16182,NULL," "," ",instructions,1,17954,5d1c9db1ab2b52001a30f022,typicality,NULL
7831,11864,NULL,NULL,NULL,survey-text,2,29823,5d1c9db1ab2b52001a30f022,typicality,"{"Q0":"Choose the image that looks weirder to me"}"
7832,2411,1,one_3.png,one_1.png,html-button-response,3,32238,5d1c9db1ab2b52001a30f022,typicality,NULL
7833,2346,0,one_5.png,one_2.png,html-button-response,4,34585,5d1c9db1ab2b52001a30f022,typicality,NULL
7834,1629,0,seven_5.png,seven_7.png,html-button-response,5,36216,5d1c9db1ab2b52001a30f022,typicality,NULL
7835,3504,0,five_9.png,five_2.png,html-button-response,6,39722,5d1c9db1ab2b52001a30f022,typicality,NULL
7836,3540,0,three_10.png,three_8.png,html-button-response,7,43264,5d1c9db1ab2b52001a30f022,typicality,NULL
7837,3381,1,six_8.png,six_2.png,html-button-response,8,46647,5d1c9db1ab2b52001a30f022,typicality,NULL
7838,6547,0,two_10.png,two_7.png,html-button-response,9,53196,5d1c9db1ab2b52001a30f022,typicality,NULL
7839,1316,0,five_6.png,five_4.png,html-button-response,10,54514,5d1c9db1ab2b52001a30f022,typicality,NULL
7840,1505,1,eight_8.png,eight_6.png,html-button-response,11,56021,5d1c9db1ab2b52001a30f022,typicality,NULL
7841,3607,0,three_3.png,three_4.png,html-button-response,12,59630,5d1c9db1ab2b52001a30f022,typicality,NULL
7842,2008,0,three_8.png,three_1.png,html-button-response,13,61640,5d1c9db1ab2b52001a30f022,typicality,NULL
7843,4056,0,six_4.png,six_3.png,html-button-response,14,65698,5d1c9db1ab2b52001a30f022,typicality,NULL
7844,1711,1,one_6.png,one_10.png,html-button-response,15,67412,5d1c9db1ab2b52001a30f022,typicality,NULL
7845,3513,0,four_8.png,four_9.png,html-button-response,16,70925,5d1c9db1ab2b52001a30f022,typicality,NULL
7846,2669,1,zero_5.png,zero_10.png,html-button-response,17,73596,5d1c9db1ab2b52001a30f022,typicality,NULL
7847,1370,0,two_2.png,two_9.png,html-button-response,18,74968,5d1c9db1ab2b52001a30f022,typicality,NULL
7848,1666,0,eight_10.png,eight_9.png,html-button-response,19,76636,5d1c9db1ab2b52001a30f022,typicality,NULL
7849,1591,1,nine_3.png,nine_5.png,html-button-response,20,78230,5d1c9db1ab2b52001a30f022,typicality,NULL
7850,4776,0,eight_3.png,eight_4.png,html-button-response,21,83008,5d1c9db1ab2b52001a30f022,typicality,NULL
7851,2026,1,zero_8.png,zero_6.png,html-button-response,22,85036,5d1c9db1ab2b52001a30f022,typicality,NULL
7852,1255,1,zero_6.png,zero_4.png,html-button-response,23,86293,5d1c9db1ab2b52001a30f022,typicality,NULL
7853,5611,1,six_7.png,six_5.png,html-button-response,24,91905,5d1c9db1ab2b52001a30f022,typicality,NULL
7854,1606,1,five_2.png,five_10.png,html-button-response,25,93512,5d1c9db1ab2b52001a30f022,typicality,NULL
7855,2514,1,two_10.png,two_1.png,html-button-response,26,96028,5d1c9db1ab2b52001a30f022,typicality,NULL
7856,2149,0,seven_6.png,seven_2.png,html-button-response,27,98179,5d1c9db1ab2b52001a30f022,typicality,NULL
7857,1889,0,zero_7.png,zero_1.png,html-button-response,28,100069,5d1c9db1ab2b52001a30f022,typicality,NULL
7858,1872,0,six_7.png,six_10.png,html-button-response,29,101943,5d1c9db1ab2b52001a30f022,typicality,NULL
7859,1383,1,three_10.png,three_2.png,html-button-response,30,103327,5d1c9db1ab2b52001a30f022,typicality,NULL
7860,2343,1,zero_8.png,zero_2.png,html-button-response,31,105672,5d1c9db1ab2b52001a30f022,typicality,NULL
7861,1692,0,four_2.png,four_9.png,html-button-response,32,107365,5d1c9db1ab2b52001a30f022,typicality,NULL
7862,1097,1,three_3.png,three_6.png,html-button-response,33,108463,5d1c9db1ab2b52001a30f022,typicality,NULL
7863,3238,0,one_9.png,one_8.png,html-button-response,34,111703,5d1c9db1ab2b52001a30f022,typicality,NULL
7864,2418,0,five_10.png,five_3.png,html-button-response,35,114122,5d1c9db1ab2b52001a30f022,typicality,NULL
7865,1170,1,zero_10.png,zero_4.png,html-button-response,36,115293,5d1c9db1ab2b52001a30f022,typicality,NULL
7866,2860,1,four_10.png,four_1.png,html-button-response,37,118155,5d1c9db1ab2b52001a30f022,typicality,NULL
7867,3103,0,one_8.png,one_2.png,html-button-response,38,121259,5d1c9db1ab2b52001a30f022,typicality,NULL
7868,2243,0,nine_9.png,nine_7.png,html-button-response,39,123503,5d1c9db1ab2b52001a30f022,typicality,NULL
7869,1600,0,one_7.png,one_4.png,html-button-response,40,125105,5d1c9db1ab2b52001a30f022,typicality,NULL
7870,8188,0,three_9.png,three_5.png,html-button-response,41,133294,5d1c9db1ab2b52001a30f022,typicality,NULL
7871,1479,0,two_6.png,two_9.png,html-button-response,42,134776,5d1c9db1ab2b52001a30f022,typicality,NULL
7872,1645,1,three_6.png,three_9.png,html-button-response,43,136423,5d1c9db1ab2b52001a30f022,typicality,NULL
7873,1773,0,zero_2.png,zero_1.png,html-button-response,44,138198,5d1c9db1ab2b52001a30f022,typicality,NULL
7874,1064,0,one_7.png,one_3.png,html-button-response,45,139263,5d1c9db1ab2b52001a30f022,typicality,NULL
7875,2281,0,seven_9.png,seven_6.png,html-button-response,46,141546,5d1c9db1ab2b52001a30f022,typicality,NULL
7876,1157,1,three_5.png,three_7.png,html-button-response,47,142704,5d1c9db1ab2b52001a30f022,typicality,NULL
7877,1482,1,six_8.png,six_5.png,html-button-response,48,144186,5d1c9db1ab2b52001a30f022,typicality,NULL
7878,1201,0,seven_9.png,seven_4.png,html-button-response,49,145389,5d1c9db1ab2b52001a30f022,typicality,NULL
7879,932,1,eight_5.png,eight_1.png,html-button-response,50,146323,5d1c9db1ab2b52001a30f022,typicality,NULL
7880,1445,0,four_1.png,four_7.png,html-button-response,51,147770,5d1c9db1ab2b52001a30f022,typicality,NULL
7881,1505,0,eight_7.png,eight_4.png,html-button-response,52,149276,5d1c9db1ab2b52001a30f022,typicality,NULL
7882,4039,1,five_3.png,five_8.png,html-button-response,53,153317,5d1c9db1ab2b52001a30f022,typicality,NULL
7883,2942,1,eight_6.png,eight_9.png,html-button-response,54,156260,5d1c9db1ab2b52001a30f022,typicality,NULL
7884,1065,0,seven_5.png,seven_4.png,html-button-response,55,157326,5d1c9db1ab2b52001a30f022,typicality,NULL
7885,1569,0,four_8.png,four_3.png,html-button-response,56,158896,5d1c9db1ab2b52001a30f022,typicality,NULL
7886,1467,1,four_5.png,four_10.png,html-button-response,57,160365,5d1c9db1ab2b52001a30f022,typicality,NULL
7887,920,0,six_2.png,six_9.png,html-button-response,58,161287,5d1c9db1ab2b52001a30f022,typicality,NULL
7888,2258,0,four_6.png,four_2.png,html-button-response,59,163546,5d1c9db1ab2b52001a30f022,typicality,NULL
7889,947,0,one_1.png,one_10.png,html-button-response,60,164495,5d1c9db1ab2b52001a30f022,typicality,NULL
7890,1416,1,four_7.png,four_6.png,html-button-response,61,165912,5d1c9db1ab2b52001a30f022,typicality,NULL
7891,1962,1,nine_3.png,nine_5.png,html-button-response,62,167875,5d1c9db1ab2b52001a30f022,typicality,NULL
7892,3183,0,four_5.png,four_4.png,html-button-response,63,171059,5d1c9db1ab2b52001a30f022,typicality,NULL
7893,1297,0,nine_2.png,nine_6.png,html-button-response,64,172358,5d1c9db1ab2b52001a30f022,typicality,NULL
7894,1268,0,two_1.png,two_5.png,html-button-response,65,173627,5d1c9db1ab2b52001a30f022,typicality,NULL
7895,2313,0,two_8.png,two_3.png,html-button-response,66,175943,5d1c9db1ab2b52001a30f022,typicality,NULL
7896,1340,0,five_7.png,five_8.png,html-button-response,67,177285,5d1c9db1ab2b52001a30f022,typicality,NULL
7897,1464,0,nine_4.png,nine_10.png,html-button-response,68,178751,5d1c9db1ab2b52001a30f022,typicality,NULL
7898,2750,0,nine_1.png,nine_7.png,html-button-response,69,181503,5d1c9db1ab2b52001a30f022,typicality,NULL
7899,2280,0,two_6.png,two_5.png,html-button-response,70,183785,5d1c9db1ab2b52001a30f022,typicality,NULL
7900,1669,1,seven_2.png,seven_8.png,html-button-response,71,185456,5d1c9db1ab2b52001a30f022,typicality,NULL
7901,3098,0,five_5.png,five_1.png,html-button-response,72,188555,5d1c9db1ab2b52001a30f022,typicality,NULL
7902,1720,0,seven_1.png,seven_10.png,html-button-response,73,190277,5d1c9db1ab2b52001a30f022,typicality,NULL
